Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,Address,AddressQID,City,CityQID,County,CountyQID,State,StateQID,Country,CountryQID,Title,LinkedIn,Final Bios
,,Abhishek Mittal,,,,,,,,Wolters Kluwer (GRC Division),Q249798,,,medium size publisher,Q19720190,publishing,Q3972943,,,Assago,Q42991,Metropolitan City of Milan,Q18288155,province of Milan,Q15121,Lombardy,Q1210,Italy,Q38,,,
,,,,,,,,,,,,,,book publisher,Q1320047,,,,,,,,,,,,,,,,,
,,Alan Morrison,Q57465740,,,,,,,,,,,open-access publisher,Q45400320,,,,,,,Alphen aan den Rijn,Q213246,,,South Holland,Q694,Netherlands,Q55,,,
,,,,,,,,,,,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Alastair Green,Q60677421,,,,,,,Linked Data Benchmark Council,Q104438322,,,research project,Q1298668,,,Semantic Web,Q54837,,,,,,,,,,,,,
,,Albert-Laszlo Barabasi,Q725467,Hungary,Q28,University of Bucharest,Q608338,network theory,Q1192971,Northeastern University,Q37548,Digital Library Federation,Q5275906,university,Q3918,,,,,,,Boston,Q100,Suffolk County,Q54072,Massachusetts,Q771,United States of America,Q30,,,
,,,,Romania,Q218,Boston University,Q49110,,,,,Scholarly Publishing and Academic Resources Coalition,Q647039,private not-for-profit educational institution,Q23002054,,,,,,,,,,,,,,,,,
,,,,United States of America,Q30,Eötvös Loránd University,Q390287,,,,,Center for Research Libraries,Q5059850,,,,,,,,,,,,,,,,,,,
,,Alena Vasilevich,Q13028263,,,Philological faculty of BSU,Q4484261,,,Coreon GmbH,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,Alex Kalinowski,,,,,,,,Northeastern University,Q37548,Digital Library Federation,Q5275906,university,Q3918,,,,,,,Boston,Q100,Suffolk County,Q54072,Massachusetts,Q771,United States of America,Q30,,,
,,,,,,,,,,,,Scholarly Publishing and Academic Resources Coalition,Q647039,private not-for-profit educational institution,Q23002054,,,,,,,,,,,,,,,,,
,,Alfio Gliozzo,Q54832771,,,,,,,,,Center for Research Libraries,Q5059850,,,,,,,,,,,,,,,,,,,
,,Alison Goodrum,,,,,,,,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,Amar Das,Q92462042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amgad Madkour,,,,,,,,Microsoft,Q2283,Alliance for Open Media,Q20947086,software company,Q1058914,technology industry,Q21157865,,,,,Redmond,Q223718,King County,Q108861,Washington,Q1223,United States of America,Q30,,,
,,Amit Sheth,Q47697386,,,Ohio State University,Q309331,,,,,Linux Foundation,Q858851,business,Q4830453,software industry,Q880371,,,,,,,,,,,,,,,
,,,,,,Ohio State University,Q309331,,,,,World Wide Web Consortium,Q37033,technology company,Q18388277,software development,Q638608,,,,,,,,,,,,,,,
,,,,,,Birla Institute of Technology and Science,Q2648311,,,,,Wi-Fi Alliance,Q1361045,public company,Q891723,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SD Association,Q7389502,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OpenID Foundation,Q105272307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rust Foundation,Q105394699,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bytecode Alliance,Q75097496,,,,,,,,,,,,,,,,,,,
,,Anastasia Dimou,Q57418715,,,,,,,IMEC,Q1667937,,,business,Q4830453,,,,,,,Leuven,Q118958,Arrondissement of Leuven,Q93392,Flemish Brabant,Q1118,Belgium,Q31,,,
,,Andreas Blumauer,,,,,,,,Semantic Web Company/ PoolParty,Q30291990,,,business,Q4830453,,,,,,,Vienna,Q1741,,,,,Austria,Q40,,,
,,Andrej Verity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Andriy Nikolov,Q106823378,,,,,,,AstraZeneca,Q731938,,,business,Q4830453,pharmaceutical industry,Q507443,,,Paris Saint-Germain F.C.,Q483020,,,,,,,France,Q142,,,
,,,,,,,,,,,,,,enterprise,Q6881511,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Antonin Delpeuch,Q47472131,,,École normale supérieure,Q83259,,,"U. of Oxford, Code for Science and Society",Q34433,Russell Group,Q590631,collegiate university,Q3354859,,,,,Oxford,Q34217,Oxford,Q20986484,Oxfordshire,Q23169,,,United Kingdom,Q145,,,
,,Arthur Peters,,,,University of Ljubljana,Q1377,,,,,"ORCID, Inc.",Q19861084,exempt charity,Q5420001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jisc,Q6269240,public university,Q875538,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,IIIF Consortium,Q35677307,higher education institution,Q38723,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,International Alliance of Research Universities,Q1140056,open-access publisher,Q45400320,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Digital Preservation Coalition,Q5275956,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,World Wide Web Consortium,Q37033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Shibboleth Consortium,Q105077092,,,,,,,,,,,,,,,,,,,
,,Ashleigh Faith,Q59677069,,,,,,,EBSCO Information Services,Q1273958,"ORCID, Inc.",Q19861084,business,Q4830453,,,,,,,Birmingham,Q79867,Jefferson County,Q112271,Alabama,Q173,United States of America,Q30,,,
,,,,,,,,,,,,,,,,,,,,,,,,Shelby County,Q501084,Alabama,Q173,United States of America,Q30,,,
,,Atanas Kirakov,Q104437913,,,,,Semantic Web,Q54837,Ontotext,Q7095072,World Wide Web Consortium,Q37033,company,Q783794,Semantic Web,Q54837,,,,,Sofia,Q472,Sofia Capital Municipality,Q4442915,Sofia City Province,Q1585725,Bulgaria,Q219,,,
,,Barr Moses,,,,,,,,Monte Carlo,,,,,,software industry,Q880371,,,,,,,,,,,,,,,
,,Ben De Meester,,,,,,,,IDLab - Ghent University - imec,,,,,,graph database,Q595971,,,,,,,,,,,,,,,
,,Ben Lorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ben Szekely,,,,,,,,Cambridge Semantics,Q24915378,,,privately held company,Q1589009,software industry,Q880371,,,,,Boston,Q100,Suffolk County,Q54072,Massachusetts,Q771,United States of America,Q30,,,
,,Benjamin Cogrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bernhard Krabina,Q73487199,Austria,Q40,Vienna University of Economics and Business,Q278044,,,KDZ - Centre for Public Administration Research,Q1314031,,,organization,Q43229,,,,,,,,,,,,,,,,,
,,Bogdan Sacaleanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bojan Bozic,Q84602150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Boris Pelakh,,,,,,,,Semantic Arts,Q93432377,,,,,,,,,,,,,,,,,,,,,
,,Branimir Rakic,,,,,,,,Trace Labs and OriginTrail,Q64940983,,,nonprofit organization,Q163740,,,Open-source Intelligence,Q1059178,,,Vancouver,Q24639,Metro Vancouver,Q1061069,British Columbia,Q1974,Canada,Q16,,,
,,Brian Rubinton,,,,,,,,,,,,,,,,missing person,Q388505,,,,,,,,,,,,,
,,Cedric Berger,Q57031313,,,,,,,Novartis,Q507154,German-Swiss Chamber of Commerce,Q17353641,business,Q4830453,pharmaceutical industry,Q507443,,,,,Basel,Q78,Basel-Stadt,Q12172,,,Switzerland,Q39,,,
,,,,,,,,,,,,,,multinational corporation,Q161726,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Chaitanya Baru,Q102960961,,,University of Florida,Q501758,,,National Science Foundation,Q304878,,,independent agency of the United States government,Q1752939,,,,,,,Alexandria,Q88,Virginia,Q1370,,,United States of America,Q30,,,
,,,,,,,,,,,,,,research institute,Q31855,,,,,,,,,,,,,,,,,
,,chandrasekhar Iyer,,,,,,,,Facebook,Q355,,,social networking service,Q3220391,,,,,,,Menlo Park,Q74195,San Mateo County,Q108101,California,Q99,United States of America,Q30,,,
,,,,,,,,,,,,,,website,Q35127,,,,,,,,,,,,,,,,,
,,Charles Ivie,,,,,,,,Amazon,Q3884,Alliance for Open Media,Q20947086,website,Q35127,retail,Q126793,,,,,Seattle,Q5083,King County,Q108861,Washington,Q1223,United States of America,Q30,,,
,,,,,,,,,,,,Internet Association,Q16848217,enterprise,Q6881511,web hosting service,Q5892272,,,,,,,,,,,,,,,
,,,,,,,,,,,,World Wide Web Consortium,Q37033,business,Q4830453,web service,Q193424,,,,,,,,,,,,,,,
,,,,,,,,,,,,SD Association,Q7389502,online marketplace,Q3390477,e-commerce,Q484847,,,,,,,,,,,,,,,
,,,,,,,,,,,,Zigbee Alliance,Q79100838,public company,Q891723,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,FIDO Alliance,Q15731702,e-commerce,Q484847,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Linux Foundation,Q858851,,,,,,,,,,,,,,,,,,,
,,Chen Zhang,,,,,,,,Financial Industry Regulatory Authority,Q387071,,,self-regulatory organization,Q536390,,,,,,,"Washington, D.C.",Q61,District of Columbia,Q3551781,,,United States of America,Q30,,,
,,Ching-Hua Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chris Welty,Q5108445,United States of America,Q30,Rensselaer Polytechnic Institute,Q49211,,,Google,Q95,American Legislative Exchange Council,Q3614083,business,Q4830453,internet industry,Q56611700,,,,,Mountain View,Q486860,Santa Clara County,Q110739,California,Q99,United States of America,Q30,,,
,,,,,,Francis Lewis High School,Q5481735,,,,,Alliance for Open Media,Q20947086,technology company,Q18388277,software industry,Q880371,,,,,,,,,,,,,,,
,,,,,,,,,,,,Linux Foundation,Q858851,public company,Q891723,Internet marketing,Q189507,,,,,,,,,,,,,,,
,,,,,,,,,,,,OpenAPI Initiative,Q63256596,,,information technology,Q11661,,,,,,,,,,,,,,,
,,,,,,,,,,,,Internet Association,Q16848217,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,World Wide Web Consortium,Q37033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Wi-Fi Alliance,Q1361045,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,CVE Numbering Authorities,Q67904121,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Zigbee Alliance,Q79100838,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Node.js Foundation,Q38620786,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OpenJS Foundation,Q80653810,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,FIDO Alliance,Q15731702,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OpenPOWER Foundation,Q16725802,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OpenID Foundation,Q105272307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rust Foundation,Q105394699,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Wireless Power Consortium,Q3616482,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bytecode Alliance,Q75097496,,,,,,,,,,,,,,,,,,,
,,Christos Boutsidis,Q93037893,,,Rensselaer Polytechnic Institute,Q49211,,,Goldman Sachs,Q193326,Linux Foundation,Q858851,multinational corporation,Q161726,financial services,Q837171,,,200 West Street,Q116002,Battery Park City,Q810961,Manhattan,Q11299,,,United States of America,Q30,,,
,,Chu Nnodu,,,,University of Patras,Q1462246,,,,,FIDO Alliance,Q15731702,commercial organization,Q21980538,,,,,,,,,,,,,,,,,
,,Conor White-Sullivan,,,,,,,,,,Initiative Finanzstandort Deutschland,Q1663567,credit institution,Q730038,,,,,,,,,,,,,,,,,
,,Cory Henson,,,,,,,,,,,,investment bank,Q319845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,asset management,Q873442,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Dan McCreary,,,,,,,,Optum and Intel,Q30284383; Q248,,,,,,,,,,,,,,,,,,,,,
,,Daniel Vila Suero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Davar Ardalan,Q5228159,Iran,Q794,University of New Mexico,Q1190812,,,,,,,,,,,,,,,,,,,,,,,,,
,,David Leake,Q102289978,,,Yale University,Q49112,,,,,,,,,,,,,,,,,,,,,,,,,
,,David Newman,,,,,,,,Wells Fargo,Q744149,World Wide Web Consortium,Q37033,bank,Q22687,financial services,Q837171,,,,,San Francisco,Q62,San Francisco County,Q13188841,California,Q99,United States of America,Q30,,,
,,Deborah McGuinness,Q5248328,,,Duke University,Q168751,,,,,FIDO Alliance,Q15731702,business,Q4830453,banking industry,Q806718,,,,,,,,,,,,,,,
,,Denise Gosnell,,,,"University of California, Berkeley",Q168756,,,DataStax,,,,enterprise,Q6881511,Finance,Q1416657,,,,,,,,,,,,,,,
,,,,,,Rutgers University,Q499451,,,,,,,financial institution,Q650241,,,,,,,,,,,,,,,,,
,,Dennis Wisnosky,Q5258375,,,University of Pittsburgh,Q235034,,,Enterprise Knowledge Graph Foundation,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Diego Calvanese,Q57193328,Italy,Q38,Sapienza University of Rome,Q209344,computer science,Q21198,,,,,,,,,,,,,,,,,,,,,,,
,,Dmytro Dolgopolov,,,,,,,,Financial Industry Regulatory Authority,,,,,,,,,,,,,,,,,,,,,,
,,Duane Forrester,,,,,,,,Yext,,,,,,,,,,,,,,,,,,,,,,
,,Eelke van der Horst,Q56512365,,,,,,,The Hyve,,,,,,,,,,,,,,,,,,,,,,
,,Elena Romanova,,,,,,,,Financial Industry Regulatory Authority,,,,,,,,,,,,,,,,,,,,,,
,,Ellie Young,,,,,,,,Knowledge Graph Conference,,,,,,,,,,,,,,,,,,,,,,
,,Felix Loesch,,,,,,,,Bei Bosch,,,,,,,,,,,,,,,,,,,,,,
,,Filip Ilievski,Q100107129,,,Vrije Universiteit Amsterdam,Q1065414,,,,,,,,,,,,,,,,,,,,,,,,,
,,Francois Scharffe,Q79033237,,,University of Innsbruck,Q875788,,,The Data Chefs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toulouse III University - Paul-Sabatier,Q1273188,,,,,,,,,,,,,,,,,,,,,,,,,
,,Freddy Lecue,Q54805203,,,,,,,Inria / Thales,,,,,,,,,,,,,,,,,,,,,,
,,Gaurav Jaglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Guohui Xiao,Q44607571,People's Republic of China,Q148,TU Wien,Q689400,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Peking University,Q16952,,,,,,,,,,,,,,,,,,,,,,,,,
,,Heather Hedden,Q93429223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Honghan Wu,Q57142628,,,Southeast University,Q3551770,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ivo Velitchkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jacobus Geluk,,,,,,,,agnos.ai,,,,,,,,,,,,,,,,,,,,,,
,,Jamie McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jan Hidders,Q57062132,,,,,,,University of Londion,,,,,,,,,,,,,,,,,,,,,,
,,Jans Aasman,Q22276676,Kingdom of the Netherlands,Q29999,University of Groningen,Q850730,,,Franz Inc,,,,,,,,,,,,,,,,,,,,,,
,,Jay Yu,,,,,,,,Intuit,,,,,,,,,,,,,,,,,,,,,,
,,Jeannine Wisnosky Stehlin,,,,,,,,Enterprise Knowledge Graph Foundation,,,,,,,,,,,,,,,,,,,,,,
,,Joerg Werner,Q102158529,,,University of Giessen,Q317053,,,Merck Healthcare,,,,,,,,,,,,,,,,,,,,,,
,,Joey Yip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johannes Keizer,,,,,,,,Lore Star srl,,,,,,,,,,,,,,,,,,,,,,
,,Jonas Almeida,Q57424373,,,,,,,NIH/NCI/Division of Cancer Epidemiology and Genetics (DCEG),,,,,,,,,,,,,,,,,,,,,,
,,Joshua Shinavier,Q103363664,,,Rensselaer Polytechnic Institute,Q49211,,,Uber Inc.,,,,,,,,,,,,,,,,,,,,,,
,,Juan Sequeda,Q57225833,,,University of Texas at Austin,Q49213,,,data.world,,,,,,,,,,,,,,,,,,,,,,
,,Julian Gruemmer,,,,University of Texas at Austin,Q49213,,,Friedrich-Alexander-University Erlangen-Nuremberg,,,,,,,,,,,,,,,,,,,,,,
,,Justin Zhen,,,,University of Texas at Austin,Q49213,,,Thinknum Alternative Data,,,,,,,,,,,,,,,,,,,,,,
,,Kaushik Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kavitha Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Keith Corbett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Keshav Pingalli,,,,,,,,Katana Graph,,,,,,,,,,,,,,,,,,,,,,
,,Konstantin Todorov,Q93028196,,,Osnabrück University,Q702499,,,"University of Montpellier, LIRMM, CNRS",,,,,,,,,,,,,,,,,,,,,,
,,Krzysztof Janowicz,Q59543045,,,,,,,"University of California, Santa Barbara",,,,,,,,,,,,,,,,,,,,,,
,,Lambert Hogenhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Ham,,,,,,,,SeMI Technologies,,,,,,,,,,,,,,,,,,,,,,
,,Lev Yarmovsky,,,,,,,,Financial Industry Regulatory Authority,,,,,,,,,,,,,,,,,,,,,,
,,Liz Hainey,,,,,,,,Raytheon Technologies,,,,,,,,,,,,,,,,,,,,,,
,,Louis Guitton,,,,,,,,OneFootball,Q85790765,,,business,Q4830453,,,,,,,Berlin,Q64,,,,,Germany,Q183,,,
,,Luke Feeney,,,,,,,,TerminusDB,,,,,,,,,,,,,,,,,,,,,,
,,Manas Gaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marco Monti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Margaret Kocherga,Q93335951,,,University of North Carolina,Q1191202,,,Light and Charge Solutions,,,,,,,,,,,,,,,,,,,,,,
,,Mark Grover,,,,,,,,Stemma,,,,,,,,,,,,,,,,,,,,,,
,,Martynas Jusevicius,,,,,,,,AtomGraph,,,,,,,,,,,,,,,,,,,,,,
,,Matt Gee,,,,,,,,Brighthive,,,,,,,,,,,,,,,,,,,,,,
,,Matthias Broecheler,,,,,,,,DataStax,,,,,,,,,,,,,,,,,,,,,,
,,Maulik R. Kamdar,Q59748965,,,Indian Institute of Technology Kharagpur,Q1661243,,,Elsevier Inc.,,,,,,,,,,,,,,,,,,,,,,
,,Melliyal Annamalai,Q93041420,,,Purdue University,Q217741,,,Oracle,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"University of Maryland, Baltimore",Q4119470,,,,,,,,,,,,,,,,,,,,,,,,,
,,Michael Cafarella,Q6846221,United States of America,Q30,Brown University,Q49114,,,MIT CSAIL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,University of Washington,Q219563,,,,,,,,,,,,,,,,,,,,,,,,,
,,Michael Grove,Q93027919,,,University of Maryland,Q503415,,,Stardog,,,,,,,,,,,,,,,,,,,,,,
,,Mike Atkin,,,,,,,,EKGF,,,,,,,,,,,,,,,,,,,,,,
,,Mike Pool,,,,,,,,Reclassify AI,,,,,,,,,,,,,,,,,,,,,,
,,Mike Tung,Q24050958,,,Stanford University,Q41506,,,Diffbot,,,,,,,,,,,,,,,,,,,,,,
,,Mike Welch,,,,"University of California, Berkeley",Q168756,,,Verizon Media,,,,,,,,,,,,,,,,,,,,,,
,,Mohammed Aaser,,,,,,,,McKinsey and Company,,,,,,,,,,,,,,,,,,,,,,
,,Mohammed Zaki,Q55458948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nariman Ammar,Q101220134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neda Abolhassani,Q93043360,,,University of Georgia,Q761534,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nicole Moldovan,,,,East Stroudsburg University of Pennsylvania,Q5329446,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tabarestan University,Q6525547,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Hartig,Q30103409,,,,,,,Linkopings Universitet,,,,,,,,,,,,,,,,,,,,,,
,,Ora Lassila,Q7099202,Finland,Q33,Helsinki University of Technology,Q1646874,,,Amazon,,,,,,,,,,,,,,,,,,,,,,
,,Oshani Seneviratne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paco Nathan,Q7123088,United States of America,Q30,,,,,"Derwen, Inc.",,,,,,,,,,,,,,,,,,,,,,
,,Panos Alexopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paolo Manghi,Q47090526,,,University of Pisa,Q645663,,,CNR - ISTI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,University of Pisa,Q645663,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pascal Hitzler,Q30103406,,,University College Cork,Q1574185,,,,,,,,,,,,,,,,,,,,,,,,,
,,Patrick Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pavan Kapanipathi,Q102756520,,,Wright State University,Q2002085,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pete Rivett,,,,,,,,agnos.ai,,,,,,,,,,,,,,,,,,,,,,
,,Peter Rose,Q30361666,,,,,,,UC San Diego,,,,,,,,,,,,,,,,,,,,,,
,,Peter Winstanley,,,,,,,,Semantic Arts,,,,,,,,,,,,,,,,,,,,,,
,,Pierre-Antoine Champin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rajiv Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raul Palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rayid Ghani,Q16216565,United States of America,Q30,Carnegie Mellon University,Q190080,computer science,Q21198,,,,,,,,,,,,,,,,,,,,,,,
,,Ridho Reinanda,Q102635553,,,University of Amsterdam,Q214341,,,Bloomberg,,,,,,,,,,,,,,,,,,,,,,
,,Roi Krakovski,Q102403715,,,Ben-Gurion University of the Negev,Q737332,,,Usearch.com,,,,,,,,,,,,,,,,,,,,,,
,,Ryan Wisnesky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sabbir Rashid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sabrina Viitasaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samia Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sergio Baranzini,,,,,,,,University of California San Francisco,,,,,,,,,,,,,,,,,,,,,,
,,Shreyansh Bhatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stefan Plantikow,,,,,,,,Neo4j,,,,,,,,,,,,,,,,,,,,,,
,,Steven Gustafson,Q102182833,,,University of Nottingham,Q472316,,,"Noonum, Inc.",,,,,,,,,,,,,,,,,,,,,,
,,Tara Raafat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tara Rafaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tara Safavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tek Raj Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teodora Petkova,Q97065748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teresa Tung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Timea Turdean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tina Comes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tom Plasterer,Q93031743,,,Boston University School of Medicine,Q4119659,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trey Botard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Veronika Heimsbakk,,,,,,,,Capgemini,,,,,,,,,,,,,,,,,,,,,,
,,Victor de Boer,Q58894745; Q103357901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vinay Chaudhri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vinod Surendran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Violeta Ilik,Q57910885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vivek Khetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,William Van Woensel,Q90832300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Xian Li,,,,,,,,Amazon,,,,,,,,,,,,,,,,,,,,,,
,,Xin Luna Dong,Q102320754,,,University of Washington,Q219563,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nankai University,Q254204,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Peking University,Q16952,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ying Ding,Q93033371,,,Nanyang Technological University,Q721064,,,Katana Graph,,,,,,,,,,,,,,,,,,,,,,
,,Yuxuan Wang,,,,Chinese Academy of Sciences,Q530471,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zhamak Dehghani,,,,,,,,Thoughtworks,,,,,,,,,,,,,,,,,,,,,,
