Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,HQ,HQQID1,HQ2,HQQID2,HQ3,HQQID3,HQ4,HQQID4,HQ5,HQQID5,Title,LinkedIn,Final Bios
17,17,Thorsten Liebig,,,,,,,,derivo GmbH,Q91149041,,,business,Q4830453,,,Semantic Web,Q54837,Ulm,Q3012,Tübingen Government Region,Q8170,Baden-Württemberg,Q985,Germany,Q183,,,CEO,https://www.linkedin.com/in/tliebig/,"Thorsten CEO of derivo GmbH since 2010. derivo is an SME that supports leading European companies including Siemens, Schaeffler and Festo to successfully build and implement Knowledge Graphs and reasoning technology in complex technical domains. Thorsten studied Computer Science at Ulm University. He received national scholarships to work at the Information Sciences Institute at the University of Southern California and to finish his dissertation at Otto- von-Guericke University in Magdeburg. He also headed the international working group that specified OWLlink, a communication protocol for OWL, that became a W3C member submission in 2011."
,,,,,,,,,,,,,,Gesellschaft mit beschränkter Haftung,Q15829892,,,ontology engineering,Q1027508,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,artificial intelligence,Q11660,,,,,,,,,,,,,
18,18,Tom Plasterer,,,,,,,,AstraZeneca,Q731938,,,business,Q4830453,pharmaceutical industry,Q507443,,,Cambridge,Q350,Cambridge,Q21713103,Cambridgeshire,Q21272276,Cambridgeshire,Q23112,East of England,Q48006,"Senior Director, Bioinformatics",https://www.linkedin.com/in/tplasterer/,"Tom's interest and experience are in the application of informatics to critical problems in personal medicine, systems biology, biomarker discovery and drug development along the entire discovery spectrum (defining the problem, experimental design, aligning cross-omics platforms, biostatistics and bioinformatics to objectives, managing programs, synthesizing results, publishing and communicating results, and validating results). His experience straddles the computational, scientific and business side in this space. Tom has worked in cardiovascular disease, cancer, liver and muscle toxicity, diabetes and CNS disease."
,,,,,,,,,,,,,,enterprise,Q6881511,,,,,,,,,Cambridgeshire,Q23112,East of England,Q48006,England,Q21,,,
19,19,Topojoy Biswas,,,,,,,,Verizon Media,Q29231846,Linux Foundation,Q858851,subsidiary,Q658255,Internet,Q75,,,New York City,Q60,New York,Q1384,United States of America,Q30,,,,,,https://www.linkedin.com/in/topojoy-biswas-43122713/,"Topojoy currently leads information extraction on text and videos in Yahoo Knowledge Graph which powers search and information organization in products in Yahoo! like Finance, Sports, entity search and browse. He has worked on Yahoo Knowledge Graph (YK) for 4 years on various aspects of creating knowledge graphs like reconciliation of source graphs, type classifying semistructured pages to right ontology types, ranking related entities beyond the obvious neighbours to name a few. Before Yahoo Knowledge graphs, he worked for Yahoo shopping on attribute extraction and classification of shopping feeds into large taxonomies of products."
,,,,,,,,,,,,World Wide Web Consortium,Q37033,,,communication medium,Q340169,,,Sunnyvale,Q208459,Santa Clara County,Q110739,California,Q99,United States of America,Q30,,,,,
,,,,,,,,,,,,Node.js Foundation,Q38620786,,,technology,Q11016,,,,,,,,,,,,,,,
20,20,Vassil Momtchev,,,,,,,,Ontotext,Q7095072,World Wide Web Consortium,Q37033,company,Q783794,Semantic Web,Q54837,,,Sofia,Q472,Sofia Capital Municipality,Q4442915,Sofia City Province,Q1585725,Bulgaria,Q219,,,,https://www.linkedin.com/in/vassil-momtchev/,"Vassil has more than 15 years in software development in various domains like life sciences, pharmaceutical, health care and telecommunication. In the past 10 years he mostly engaged with the development of complex enterprise knowledge management solutions that features natural language processing, text analytics, reasoning, semantics, ontology design, linked data, conceptual model design, implementation of formal grammars and graph databases. During Vassil's career he was involved in small startups that developed in bigger organization and also in a large global organization. "
,,,,,,,,,,,,,,,,software industry,Q880371,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,graph database,Q595971,,,,,,,,,,,,,,,
21,21,Christos Boutsidis,,,,,,,,Goldman Sachs,Q193326,Linux Foundation,Q858851,multinational corporation,Q161726,financial services,Q837171,,,200 West Street,Q116002,Battery Park City,Q810961,Manhattan,Q11299,New York City,Q60,New York,Q1384,,https://www.linkedin.com/in/boutsidis/,"Christos Boutsidis is the head of the Relationship Analytics and Engineering Department at Goldman Sachs. The focus of his organization is on building the Goldman Sachs Knowledge Graph and making it available firm-wide. Before that, Christos was a Research Scientist with the Scalable Machine Learning Group of Yahoo Research in New York and a Research Staff Member with the Mathematical Sciences Department of the IBM T. J. Watson Research Center in Yorktown Heights, NY. Dr. Boutsidis earned a Ph.D. in Computer Science from Rensselaer Polytechnic Institute in May of 2011 and a BS in Computer Engineering from the University of Patras, in Greece in July of 2006. Dr Boutsidis has published over 30 articles in conferences and journals in algorithms, machine learning, and statistical data analysis."
,,,,,,,,,,,,FIDO Alliance,Q15731702,commercial organization,Q21980538,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,credit institution,Q730038,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,investment bank,Q319845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,asset management,Q873442,,,,,,,,,,,,,,,,,
22,22,David Kamien,,,,,,,,Mind-Alliance Systems,Q91149765,,,business,Q4830453,,,artificial intelligence,Q11660,Whippany,Q1002645,Hanover Township,Q3016895,Morris County,Q498163,New Jersey,Q1408,United States of America,Q30,CEO,https://www.linkedin.com/in/davidkamien/,David Kamien is the founder and CEO of Mind-Alliance Systems (www.mind-alliance.com) where he leads the company's efforts to deliver AI-powered software systems and research services that help clients make better decisions and work smarter.  David Kamien is an author and inventor with unique expertise in improving information sharing and collaboration within and between organizations. David has a law degree from the College of Law and Business and a B.A. from the Hebrew University of Jerusalem.
,,,,,,,,,,,,,,,,,,consulting,Q63769412,,,,,,,,,,,,,
23,23,Elisa Kendall,,,,,,,,Thematix Partners LLC,Q91149831,,,business,Q4830453,professional services industry,Q23700345,ontology engineering,Q1027508,New York City,Q60,New York,Q1384,United States of America,Q30,,,,,,https://www.linkedin.com/in/elisakendall/,"Elisa F. Kendall is a Partner in Thematix Partners LLC and graduate level lecturer in computer science, focused on data management, data governance, knowledge representation, and decisioning systems. Her consulting practice includes business and information architecture, knowledge representation strategies, and ontology design, development, and training for clients in financial services, government, manufacturing, media, pharmaceutical, and retail domains. Recent projects have focused on use of ontologies to drive natural language processing, machine learning, interoperability, and other knowledge graph-based applications. Elisa represents knowledge representation, ontology, information architecture, and data management concerns on the Object Management Group (OMG)’s Architecture Board, is co-editor of the Ontology Definition Metamodel (ODM) and Languages, Countries, and Codes (LCC) standards, and a contributor to a number of other ISO, W3C, and OMG standards, including the Financial Industry Business Ontology (FIBO). Prior to joining Thematix, she was the founder and CEO of Sandpiper Software, an early entrant in the Semantic Web domain. Earlier in her career she was software development manager for Aspect Development, and before that a ground systems data processing engineer for Lockheed Martin. She holds a B.S. in Mathematics and Computer Science from UCLA, and an A.M in Linguistics from Stanford University."
,,,,,,,,,,,,,,limited liability company,Q149789,,,business architecture,Q3643219,,,,,,,,,,,,,
24,24,Melliyal Annamalai,,,,,,,,Oracle Corporation,Q19900,Linux Foundation,Q858851,public company,Q891723,information technology consulting,Q1540863,,,Redwood Shores,Q1267489,Redwood City,Q505549,San Mateo County,Q108101,California,Q99,United States of America,Q30,Product Manager,https://www.linkedin.com/in/melliyal/,"Melli Annamalai is a product manager at Oracle. She has vast experience in multiple technology areas related to unstructured and semi-structured data management. Her current focus areas are Graphs, Apache Kafka, and Big Data. She works closely with customers as they deploy solutions using Oracle products. She is a regular presenter at Oracle Open World and other industry events."
,,,,,,,,,,,,European Committee for Interoperable Systems,Q2985457,,,software development,Q638608,,,California,Q99,United States of America,Q30,,,,,,,,,
,,,,,,,,,,,,OpenAPI Initiative,Q63256596,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,World Wide Web Consortium,Q37033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,CVE Numbering Authorities,Q67904121,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Business Software Alliance,Q852297,,,,,,,,,,,,,,,,,,,
25,25,Neda Abolhassani,,,,,,,,Accenture,Q338825,Linux Foundation,Q858851,business,Q4830453,management consulting industry,Q23699878,,,Dublin,Q1761,County Dublin,Q173500,Leinster,Q159736,Ireland,Q27,,,R&D Associate Principal and Data Scientist,https://www.linkedin.com/in/neda-abolhassani-ph-d-61354329/,"Neda Abolhassani is an R&D Associate Principal and Data Scientist at Accenture Labs. She holds a Ph.D. in Computer Science from University of Georgia. Her research explores ontology engineering, knowledge representation and integration, as well as machine learning."
,,,,,,,,,,,,JS Foundation,Q80655185,public company,Q891723,outsourcing,Q61515,,,,,,,,,Irish Free State,,,,,,
,,,,,,,,,,,,German-Swiss Chamber of Commerce,Q17353641,consulting company,Q2089936,information technology,Q11661,,,,,,,,,Ireland,,,,,,
,,,,,,,,,,,,,,,,professional services industry,Q23700345,,,,,,,,,,,,,,,
26,26,Paul Groth,Q21678689,,,,,Semantic Web,Q54837,University of Amsterdam,Q214341,Association of Universities in the Netherlands,Q2574590,university,Q3918,,,,,Amsterdam,Q727,Amsterdam,Q9899,North Holland,Q701,Netherlands,Q55,Kingdom of the Netherlands,Q29999,Professor of Algorithmic Data Science,https://www.linkedin.com/in/pgroth/,Paul Groth is Professor of Algorithmic Data Science at the University of Amsterdam where he leads the Intelligent Data Engineering Lab (INDElab.org). Paul led the design of a number of large scale data integration and knowledge graph construction efforts in the biomedical domain. Paul was co-chair of the W3C Provenance Working Group and continues to research data provenance and data integration.
,,,,,,,,Web science,Q579439,,,Stichting Academisch Erfgoed,Q3212092,research institute,Q31855,,,,,,,,,,,,,,,,,
,,,,,,,,altmetrics,Q14565201,,,European University Association,Q868940,,,,,,,,,,,,,,,,,,,
,,,,,,,,data lineage,Q1172162,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,,,,,,,data integration,Q386824,,,,,,,,,,,,,,,,,,,,,,,
27,27,Radu Marian,,,,,,,,Bank of America,Q487907,World Wide Web Consortium,Q37033,credit institution,Q730038,financial services,Q837171,,,Charlotte,Q16565,Mecklenburg County,Q507770,North Carolina,Q1454,United States of America,Q30,,,Solution Architect,https://www.linkedin.com/in/radu-marian-6a9a943/,"Radu Marian is a Solution Architect at Bank of America, Research and Innovation Team of Global Information Security.  Radu has specialized in building semantic knowledge graph solutions for cyber security domain - specifically W3C Cyber Control Ontology and Knowledge Graph new submission initiative.  Other interests are Bible Knowledge Graph and building domain specific languages for interacting with knowledge graphs, creating and building knowledge graph Thesaurus using NLP of existent corpora."
,,,,,,,,,,,,FIDO Alliance,Q15731702,business,Q4830453,bank,Q22687,,,,,,,Province of North Carolina,Q2334526,Thirteen Colonies,Q179997,Kingdom of England,Q179876,,,
,,,,,,,,,,,,,,enterprise,Q6881511,International Standard Industrial Classification,Q1666934,,,,,,,,,,,Great Britain,Q161885,,,
28,28,Silviu Cucerzan,,,,,,,,Microsoft Research,Q1144725,,,division,Q334453,,,,,Redmond,Q223718,King County,Q108861,Washington,Q1223,United States of America,Q30,,,,https://www.linkedin.com/in/silviu-cucerzan-245a213/,"Silviu Cucerzan is a Sr. Principal researcher in Microsoft Research, which he joined in 2003, after completing his PhD studies at the Johns Hopkins University. His research has focused on topics at the intersection of NLP and IR with concrete applications to industry, including entity recognition and linking, multilingual spelling correction, question answering, query suggestion and ad selection, vertical search, fact extraction, fact verification, and vandalism detection. His collaborations with product groups have resulted in numerous technology transfers to Microsoft products. During 2016 to 2019, he led the NLP group in the Bing Knowledge Graph group, where he was responsible for developing and shipping new technologies for fact extraction from news, Web tables, and text, as well as vandalism detection in Web knowledge collections. After winning the Microsoft Hackathon with a project that was bringing knowledge from the Bing graph to Office applications, he led the team that developed the back-end for the new Data Types feature in Excel, which intelligently enhances spreadsheets with rich content from Bing’s knowledge graph"
,,,,,,,,,,,,,,research institute,Q31855,,,,,,,,,,,,,,,,,
29,29,Yanko Ivanov,,,,,,,,Enterprise Knowledge LLC,Q91151007,,,business,Q4830453,professional services industry,Q23700345,taxonomy,Q7211,Arlington County,Q107126,Virginia,Q1370,United States of America,Q30,,,,,Senior Solution Architect,https://www.linkedin.com/in/yankoivanov/,"Yanko Ivanov is a Senior Solution Architect at Enterprise Knowledge, LLC. He is an expert in strategy, design, and implementation of knowledge and information management systems. Mr. Ivanov is focusing on system design and integration leveraging ontology and knowledge graph techniques.  "
,,,,,,,,,,,,,,,,,,ontology engineering,Q1027508,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,knowledge graph,Q33002955,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,search,Q11540953,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,change management,Q116348,,,,,,,,,,,,,
30,30,Ying Ding,,,,,,,,University of Texas at Austin,Q49213,Innovative Multicultural Curricula for the Young European and US Engineers and Scientists,Q3151430,public research university,Q62078547,,,,,Austin,Q16559,Travis County,Q110426,Texas,Q1439,United States of America,Q30,,,,https://www.linkedin.com/in/ying-ding-6a63bb/,"Dr. Ying Ding is Bill & Lewis Suit Professor at School of Information, University of Texas at Austin. Before that, she was a professor and director of graduate studies for data science program at School of Informatics, Computing, and Engineering at Indiana University. She has led the effort to develop the online data science graduate program for Indiana University. She also worked as a senior researcher at Department of Computer Science, University of Innsburck (Austria) and Free University of Amsterdam (the Netherlands). She has been involved in various NIH, NSF and European-Union funded projects. She has published 240+ papers in journals, conferences, and workshops, and served as the program committee member for 200+ international conferences. She is the co-editor of book series called Semantic Web Synthesis by Morgan & Claypool publisher, the co-editor-in-chief for Data Intelligence published by MIT Press and Chinese Academy of Sciences, and serves as the editorial board member for several top journals in Information Science and Semantic Web. She is the co-founder of Data2Discovery company advancing cutting edge AI technologies in drug discovery and healthcare. Her current research interests include data-driven science of science, AI in healthcare, Semantic Web, knowledge graph, data science, scholarly communication, and the application of Web technologies."
,,,,,,,,,,,,"ORCID, Inc.",Q19861084,Original Public Ivy,Q20971972,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Digital Library Federation,Q5275906,public educational institution of the United States,Q23002039,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Association of Research Libraries,Q4810036,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Scholarly Publishing and Academic Resources Coalition,Q647039,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Center for Research Libraries,Q5059850,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
